source,doc,adj,adp,adv,aux,cconj,det,noun,num,part,pron,propn,punct,sconj,verb,x,intj,sym
books,mean,0.056,0.096,0.05,0.062,0.032,0.074,0.137,0.007,0.027,0.123,0.039,0.161,0.024,0.109,0.001,0.003,0.0
books,std,0.011,0.018,0.01,0.013,0.008,0.018,0.022,0.006,0.007,0.022,0.024,0.039,0.006,0.012,0.003,0.003,0.001
essays,mean,0.063,0.081,0.043,0.08,0.038,0.067,0.174,0.006,0.047,0.134,0.009,0.072,0.038,0.147,0.0,0.001,0.0
essays,std,0.021,0.02,0.018,0.02,0.014,0.024,0.043,0.008,0.017,0.042,0.017,0.026,0.014,0.024,0.002,0.002,0.001
news,mean,0.056,0.107,0.032,0.051,0.025,0.082,0.176,0.022,0.028,0.064,0.103,0.12,0.017,0.113,0.001,0.0,0.002
news,std,0.016,0.017,0.011,0.015,0.008,0.018,0.031,0.014,0.009,0.027,0.046,0.023,0.007,0.018,0.003,0.001,0.005
reviews,mean,0.092,0.073,0.07,0.066,0.037,0.074,0.16,0.013,0.038,0.108,0.013,0.105,0.018,0.131,0.0,0.002,0.001
reviews,std,0.072,0.053,0.064,0.05,0.038,0.053,0.077,0.027,0.043,0.073,0.036,0.065,0.027,0.064,0.004,0.012,0.007
twitter,mean,0.054,0.078,0.029,0.045,0.018,0.048,0.156,0.014,0.023,0.061,0.219,0.106,0.012,0.092,0.01,0.004,0.029
twitter,std,0.062,0.063,0.046,0.051,0.032,0.051,0.1,0.036,0.035,0.065,0.162,0.082,0.026,0.066,0.034,0.023,0.054
