source,doc,",",.,;,(,),-,*,:,"""",',+,!,#,$,%,&,/,<,=,>,?,@,[,\,],^,_,`,{,|,},~
books,mean,0.358,0.25,0.04,0.003,0.003,0.084,0.001,0.009,0.115,0.07,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.002,0.0,0.003,0.0,0.015,0.0,0.0,0.0,0.0,0.0
books,std,0.108,0.062,0.03,0.006,0.006,0.058,0.004,0.014,0.076,0.042,0.001,0.018,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.015,0.0,0.008,0.0,0.011,0.0,0.056,0.0,0.0,0.004,0.0,0.0
essays,mean,0.322,0.481,0.008,0.001,0.001,0.008,0.0,0.007,0.017,0.122,0.0,0.003,0.0,0.0,0.001,0.0,0.004,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.01,0.001,0.0,0.0,0.0,0.0
essays,std,0.181,0.187,0.023,0.009,0.011,0.031,0.002,0.027,0.041,0.118,0.002,0.016,0.004,0.003,0.008,0.004,0.019,0.0,0.001,0.0,0.026,0.0,0.001,0.003,0.002,0.0,0.038,0.01,0.001,0.0,0.001,0.001
news,mean,0.279,0.339,0.002,0.02,0.02,0.096,0.002,0.029,0.015,0.182,0.0,0.003,0.001,0.004,0.0,0.001,0.001,0.0,0.0,0.0,0.004,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news,std,0.089,0.083,0.008,0.025,0.025,0.065,0.013,0.032,0.046,0.113,0.001,0.01,0.006,0.014,0.004,0.005,0.007,0.0,0.002,0.0,0.01,0.004,0.005,0.0,0.005,0.0,0.003,0.0,0.0,0.0,0.0,0.0
reviews,mean,0.145,0.568,0.002,0.006,0.005,0.015,0.001,0.004,0.005,0.071,0.0,0.07,0.0,0.002,0.001,0.003,0.007,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.218,0.354,0.03,0.031,0.03,0.071,0.013,0.034,0.039,0.16,0.01,0.2,0.011,0.021,0.021,0.033,0.046,0.004,0.003,0.002,0.05,0.0,0.001,0.003,0.001,0.0,0.0,0.002,0.001,0.0,0.001,0.015
twitter,mean,0.079,0.197,0.003,0.007,0.008,0.045,0.003,0.038,0.024,0.083,0.001,0.04,0.186,0.003,0.001,0.016,0.02,0.001,0.001,0.001,0.035,0.158,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.004,0.0,0.0
twitter,std,0.171,0.262,0.029,0.041,0.045,0.134,0.036,0.123,0.103,0.178,0.019,0.131,0.287,0.034,0.02,0.075,0.086,0.018,0.015,0.024,0.121,0.246,0.017,0.009,0.017,0.004,0.02,0.004,0.004,0.047,0.004,0.012
