source,doc,amod,nsubj,ROOT,dep,compound:prt,case,obl,appos,det,nmod,flat,xcomp,punct,advmod,mark,obj,aux,advcl,cc,aux:pass,nsubj:pass,ccomp,fixed,nummod,nmod:poss,obl:agent,acl:relcl,cop,expl:pv,expl,conj,parataxis,csubj,acl,iobj,orphan
news,mean,0.048,0.07,0.07,0.012,0.01,0.098,0.06,0.011,0.104,0.052,0.036,0.011,0.132,0.056,0.027,0.032,0.016,0.009,0.022,0.008,0.007,0.005,0.012,0.012,0.009,0.001,0.007,0.012,0.001,0.001,0.031,0.011,0.001,0.003,0.001,0.0
news,std,0.019,0.022,0.026,0.02,0.007,0.028,0.02,0.011,0.032,0.023,0.041,0.008,0.048,0.028,0.017,0.014,0.011,0.007,0.012,0.008,0.008,0.005,0.014,0.013,0.009,0.002,0.006,0.008,0.003,0.002,0.026,0.014,0.002,0.004,0.002,0.001
essays,mean,0.052,0.083,0.059,0.015,0.009,0.085,0.053,0.003,0.107,0.038,0.005,0.014,0.096,0.093,0.048,0.039,0.024,0.016,0.027,0.009,0.007,0.008,0.011,0.005,0.011,0.001,0.01,0.021,0.002,0.003,0.031,0.006,0.003,0.004,0.001,0.0
essays,std,0.013,0.014,0.008,0.006,0.004,0.014,0.008,0.003,0.019,0.013,0.008,0.005,0.016,0.023,0.012,0.009,0.01,0.006,0.008,0.005,0.004,0.004,0.007,0.004,0.007,0.001,0.004,0.007,0.002,0.002,0.009,0.004,0.002,0.003,0.001,0.0
parliament,mean,0.04,0.081,0.07,0.001,0.008,0.089,0.051,0.02,0.114,0.042,0.014,0.01,0.108,0.076,0.037,0.039,0.03,0.011,0.021,0.013,0.011,0.011,0.015,0.006,0.01,0.001,0.007,0.015,0.001,0.002,0.024,0.011,0.002,0.005,0.002,0.0
parliament,std,0.028,0.036,0.042,0.005,0.012,0.04,0.027,0.033,0.04,0.034,0.032,0.014,0.047,0.048,0.027,0.028,0.024,0.012,0.017,0.017,0.017,0.013,0.025,0.013,0.017,0.004,0.01,0.018,0.006,0.006,0.023,0.02,0.005,0.01,0.007,0.001
twitter,mean,0.039,0.075,0.224,0.007,0.007,0.053,0.032,0.017,0.046,0.033,0.058,0.01,0.138,0.066,0.017,0.028,0.01,0.004,0.014,0.002,0.002,0.004,0.043,0.005,0.009,0.0,0.003,0.014,0.001,0.001,0.017,0.022,0.001,0.002,0.002,0.0
twitter,std,0.065,0.075,0.148,0.025,0.023,0.063,0.049,0.048,0.06,0.058,0.108,0.03,0.099,0.086,0.037,0.049,0.027,0.016,0.031,0.01,0.012,0.015,0.102,0.021,0.027,0.003,0.014,0.032,0.006,0.009,0.038,0.046,0.005,0.013,0.011,0.002
literature,mean,0.032,0.104,0.082,0.002,0.014,0.072,0.055,0.006,0.074,0.024,0.009,0.016,0.143,0.081,0.038,0.05,0.025,0.014,0.025,0.004,0.003,0.009,0.012,0.004,0.021,0.0,0.008,0.015,0.003,0.002,0.031,0.018,0.001,0.003,0.003,0.0
literature,std,0.007,0.014,0.017,0.001,0.003,0.011,0.005,0.003,0.009,0.006,0.003,0.002,0.022,0.011,0.004,0.006,0.005,0.002,0.006,0.001,0.001,0.002,0.003,0.001,0.007,0.0,0.002,0.002,0.001,0.001,0.008,0.005,0.0,0.001,0.001,0.0
reviews,mean,0.056,0.088,0.06,0.004,0.01,0.08,0.054,0.007,0.108,0.035,0.016,0.014,0.1,0.097,0.036,0.039,0.021,0.014,0.03,0.007,0.006,0.006,0.01,0.004,0.013,0.001,0.011,0.023,0.001,0.002,0.033,0.007,0.002,0.004,0.002,0.0
reviews,std,0.024,0.02,0.014,0.007,0.009,0.023,0.018,0.008,0.027,0.018,0.018,0.011,0.024,0.037,0.019,0.017,0.014,0.01,0.013,0.008,0.007,0.007,0.012,0.006,0.012,0.002,0.009,0.014,0.003,0.004,0.016,0.008,0.004,0.005,0.004,0.001
facebook,mean,0.041,0.083,0.208,0.009,0.008,0.051,0.035,0.01,0.059,0.026,0.087,0.012,0.095,0.081,0.023,0.032,0.017,0.007,0.015,0.003,0.003,0.005,0.022,0.005,0.008,0.0,0.005,0.016,0.0,0.001,0.016,0.014,0.001,0.002,0.001,0.0
facebook,std,0.074,0.08,0.18,0.032,0.027,0.064,0.053,0.041,0.071,0.052,0.156,0.033,0.103,0.097,0.045,0.054,0.039,0.021,0.032,0.016,0.017,0.018,0.075,0.021,0.025,0.005,0.019,0.037,0.006,0.01,0.036,0.043,0.007,0.012,0.01,0.003
