source,doc,adj,adp,adv,aux,cconj,det,noun,num,pron,propn,punct,sconj,space,verb,sym,x,intj
news,mean,0.064,0.12,0.056,0.037,0.024,0.106,0.165,0.024,0.05,0.097,0.132,0.014,0.011,0.09,0.008,0.0,0.0
news,std,0.022,0.031,0.028,0.017,0.012,0.032,0.037,0.029,0.03,0.072,0.048,0.01,0.02,0.025,0.018,0.002,0.001
essays,mean,0.081,0.117,0.089,0.056,0.03,0.108,0.173,0.009,0.072,0.019,0.096,0.024,0.014,0.106,0.005,0.0,0.0
essays,std,0.015,0.016,0.021,0.014,0.008,0.019,0.02,0.008,0.026,0.018,0.016,0.007,0.006,0.014,0.008,0.001,0.001
parliament,mean,0.059,0.114,0.075,0.059,0.021,0.115,0.177,0.015,0.087,0.036,0.108,0.021,,0.105,0.003,0.002,0.001
parliament,std,0.035,0.047,0.047,0.032,0.017,0.041,0.048,0.027,0.052,0.056,0.048,0.018,,0.036,0.016,0.011,0.011
twitter,mean,0.073,0.065,0.071,0.028,0.018,0.042,0.156,0.011,0.065,0.149,0.137,0.008,0.005,0.088,0.076,0.002,0.005
twitter,std,0.09,0.071,0.087,0.045,0.036,0.057,0.118,0.037,0.078,0.175,0.099,0.025,0.022,0.087,0.14,0.023,0.027
literature,mean,0.058,0.099,0.079,0.044,0.03,0.076,0.133,0.016,0.125,0.042,0.144,0.022,0.0,0.124,0.006,0.0,0.002
literature,std,0.007,0.011,0.011,0.007,0.006,0.01,0.017,0.009,0.011,0.015,0.023,0.002,0.0,0.01,0.003,0.0,0.001
reviews,mean,0.093,0.107,0.088,0.052,0.032,0.109,0.157,0.008,0.089,0.037,0.1,0.019,0.002,0.1,0.006,0.0,0.0
reviews,std,0.028,0.027,0.034,0.02,0.013,0.027,0.03,0.009,0.031,0.029,0.025,0.012,0.007,0.024,0.011,0.001,0.002
facebook,mean,0.075,0.066,0.088,0.039,0.019,0.059,0.142,0.01,0.073,0.186,0.093,0.013,0.007,0.09,0.034,0.002,0.004
facebook,std,0.109,0.075,0.103,0.058,0.041,0.071,0.133,0.038,0.083,0.261,0.102,0.031,0.027,0.092,0.107,0.025,0.031
